ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785752255250,provisioning,1,93,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752256258,provisioning,2,189,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752257267,provisioning,3,285,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752258268,provisioning,4,381,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752259270,provisioning,5,476,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752260270,provisioning,6,573,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752261270,provisioning,7,665,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752262270,provisioning,8,762,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752263270,provisioning,9,856,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752264271,provisioning,10,949,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752265271,provisioning,11,1045,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752266271,provisioning,12,1140,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752267271,provisioning,13,1236,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752268271,provisioning,14,1333,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752269271,provisioning,15,1429,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752270271,provisioning,16,1523,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752271271,provisioning,17,1619,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752272271,provisioning,18,1715,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752273281,provisioning,19,1812,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752274287,provisioning,20,1909,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752275299,provisioning,21,1989,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752276299,provisioning,22,2072,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752277299,provisioning,23,2167,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752278309,provisioning,24,2264,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752279313,provisioning,25,2360,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752280321,provisioning,26,2453,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752281328,provisioning,27,2545,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752282338,provisioning,28,2641,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752283338,provisioning,29,2738,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752284339,provisioning,30,2832,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752285347,provisioning,31,2928,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752286354,provisioning,32,3024,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752287361,provisioning,33,3122,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752288371,provisioning,34,3218,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752289381,provisioning,35,3313,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752290381,provisioning,36,3409,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752291382,provisioning,37,3505,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752292392,provisioning,38,3602,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752293401,provisioning,39,3699,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752294406,provisioning,40,3795,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752295409,provisioning,41,3890,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752296419,provisioning,42,3986,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752297419,provisioning,43,4081,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752298426,provisioning,44,4179,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752299429,provisioning,45,4272,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752300432,provisioning,46,4367,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752301437,provisioning,47,4463,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752302441,provisioning,48,4559,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752303441,provisioning,49,4654,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752304443,provisioning,50,4749,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752305453,provisioning,51,4846,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752306453,provisioning,52,4943,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752307460,provisioning,53,5038,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752308469,provisioning,54,5133,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752309475,provisioning,55,5230,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752310484,provisioning,56,5328,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752311488,provisioning,57,5424,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752312488,provisioning,58,5518,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752313488,provisioning,59,5613,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752314497,provisioning,60,5710,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752315500,provisioning,61,5807,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752316506,provisioning,62,5902,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752317516,provisioning,63,5998,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752318516,provisioning,64,6094,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752319518,provisioning,65,6186,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752320520,provisioning,66,6282,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752321526,provisioning,67,6379,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752322530,provisioning,68,6474,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752323536,provisioning,69,6571,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752324548,provisioning,70,6666,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752325552,provisioning,71,6763,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752326563,provisioning,72,6859,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752327567,provisioning,73,6955,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752328577,provisioning,74,7051,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752329578,provisioning,75,7144,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752330581,provisioning,76,7240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752331581,provisioning,77,7336,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752332581,provisioning,78,7433,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752333584,provisioning,79,7530,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752334591,provisioning,80,7625,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752335598,provisioning,81,7717,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752336604,provisioning,82,7813,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752337607,provisioning,83,7909,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752338606,provisioning,84,8005,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752339613,provisioning,85,8101,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752340618,provisioning,86,8197,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752341626,provisioning,87,8289,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752342626,provisioning,88,8383,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752343636,provisioning,89,8479,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
