ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785752516694,provisioning,1,90,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752517698,provisioning,2,185,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752518704,provisioning,3,280,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752519707,provisioning,4,377,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752520713,provisioning,5,471,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752521713,provisioning,6,564,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752522718,provisioning,7,661,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752523722,provisioning,8,756,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752524725,provisioning,9,852,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752525727,provisioning,10,949,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752526736,provisioning,11,1044,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752527740,provisioning,12,1141,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752528750,provisioning,13,1239,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752529753,provisioning,14,1335,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752530757,provisioning,15,1432,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752531757,provisioning,16,1527,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752532760,provisioning,17,1623,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752533769,provisioning,18,1718,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752534771,provisioning,19,1814,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752535776,provisioning,20,1909,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752536778,provisioning,21,2004,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752537778,provisioning,22,2098,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752538778,provisioning,23,2193,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752539782,provisioning,24,2289,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752540782,provisioning,25,2383,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752541785,provisioning,26,2479,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752542791,provisioning,27,2576,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752543791,provisioning,28,2671,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752544793,provisioning,29,2767,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
