ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785752793277,provisioning,1,71,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752794278,provisioning,2,146,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752795284,provisioning,3,217,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752796287,provisioning,4,294,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752797290,provisioning,5,365,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752798293,provisioning,6,434,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752799299,provisioning,7,509,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752800302,provisioning,8,584,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752801304,provisioning,9,664,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752802305,provisioning,10,739,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752803305,provisioning,11,815,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752804305,provisioning,12,883,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752805305,provisioning,13,954,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752806305,provisioning,14,1019,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752807305,provisioning,15,1087,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752808305,provisioning,16,1160,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752809305,provisioning,17,1229,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752810305,provisioning,18,1299,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752811305,provisioning,19,1375,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752812305,provisioning,20,1448,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752813305,provisioning,21,1523,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752814305,provisioning,22,1595,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752815306,provisioning,23,1662,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752816306,provisioning,24,1727,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752817306,provisioning,25,1797,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752818310,provisioning,26,1867,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752819315,provisioning,27,1947,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752820317,provisioning,28,2019,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752821320,provisioning,29,2092,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752822320,provisioning,30,2163,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752823325,provisioning,31,2234,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752824338,provisioning,32,2300,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752825338,provisioning,33,2370,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752826340,provisioning,34,2448,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752827341,provisioning,35,2525,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752828349,provisioning,36,2599,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752829357,provisioning,37,2679,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752830357,provisioning,38,2754,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752831363,provisioning,39,2830,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752832363,provisioning,40,2908,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752833372,provisioning,41,2982,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752834378,provisioning,42,3055,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752835383,provisioning,43,3128,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752836391,provisioning,44,3202,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752837391,provisioning,45,3275,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752838392,provisioning,46,3348,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752839393,provisioning,47,3417,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752840396,provisioning,48,3489,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752841400,provisioning,49,3561,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752842401,provisioning,50,3636,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752843407,provisioning,51,3709,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752844409,provisioning,52,3784,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752845410,provisioning,53,3858,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752846420,provisioning,54,3935,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752847422,provisioning,55,4015,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752848426,provisioning,56,4090,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752849430,provisioning,57,4162,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752850431,provisioning,58,4236,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752851438,provisioning,59,4306,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752852447,provisioning,60,4379,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752853448,provisioning,61,4448,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752854457,provisioning,62,4521,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752855462,provisioning,63,4597,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752856474,provisioning,64,4675,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752857475,provisioning,65,4748,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752858488,provisioning,66,4825,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752859488,provisioning,67,4905,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752860492,provisioning,68,4977,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752861492,provisioning,69,5051,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752862491,provisioning,70,5121,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752863495,provisioning,71,5201,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752864498,provisioning,72,5271,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752865500,provisioning,73,5340,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752866501,provisioning,74,5416,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752867507,provisioning,75,5488,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752868514,provisioning,76,5565,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752869518,provisioning,77,5638,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752870520,provisioning,78,5706,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752871533,provisioning,79,5781,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752872538,provisioning,80,5866,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752873545,provisioning,81,5943,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752874549,provisioning,82,6016,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752875557,provisioning,83,6093,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752876563,provisioning,84,6163,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752877564,provisioning,85,6242,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752878568,provisioning,86,6318,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752879572,provisioning,87,6390,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752880573,provisioning,88,6473,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752881575,provisioning,89,6545,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752882585,provisioning,90,6620,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752883588,provisioning,91,6687,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752884602,provisioning,92,6756,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752885601,provisioning,93,6827,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752886601,provisioning,94,6906,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752887603,provisioning,95,6982,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752888602,provisioning,96,7059,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752889602,provisioning,97,7136,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752890615,provisioning,98,7207,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752891631,provisioning,99,7301,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752892630,provisioning,100,7396,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752893630,provisioning,101,7489,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752894630,provisioning,102,7582,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752895633,provisioning,103,7674,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752896634,provisioning,104,7766,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752897639,provisioning,105,7861,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752898646,provisioning,106,7957,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752899648,provisioning,107,8049,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752900648,provisioning,108,8144,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752901650,provisioning,109,8238,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785752902649,provisioning,110,8333,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
