ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785755565102,provisioning,1,5,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755566116,provisioning,2,12,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755567120,provisioning,3,19,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755568125,provisioning,4,26,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755569125,provisioning,5,33,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755570128,provisioning,6,40,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755571128,provisioning,7,47,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755572128,provisioning,8,54,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755573128,provisioning,9,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755574132,provisioning,10,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755575144,provisioning,11,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755576151,provisioning,12,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755577163,provisioning,13,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755578170,provisioning,14,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755579171,provisioning,15,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755580183,provisioning,16,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755581186,provisioning,17,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755582190,provisioning,18,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755583198,provisioning,19,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755584204,provisioning,20,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755585216,provisioning,21,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755586223,provisioning,22,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755587232,provisioning,23,58,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755588246,provisioning,24,62,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755589258,provisioning,25,69,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755590275,provisioning,26,76,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755591285,provisioning,27,83,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755592291,provisioning,28,90,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755593301,provisioning,29,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755594301,provisioning,30,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755595302,provisioning,31,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755596306,provisioning,32,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755597310,provisioning,33,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755598316,provisioning,34,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755599331,provisioning,35,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755600332,provisioning,36,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755601341,provisioning,37,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755602348,provisioning,38,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755603362,provisioning,39,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755604366,provisioning,40,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755605372,provisioning,41,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755606379,provisioning,42,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755607383,provisioning,43,92,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755608390,provisioning,44,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755609397,provisioning,45,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755610408,provisioning,46,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755611418,provisioning,47,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755612433,provisioning,48,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755613435,provisioning,49,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755614450,provisioning,50,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755615457,provisioning,51,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755616469,provisioning,52,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755617474,provisioning,53,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755618487,provisioning,54,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755619502,provisioning,55,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755620501,provisioning,56,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755621512,provisioning,57,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755622514,provisioning,58,94,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755623519,provisioning,59,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755624528,provisioning,60,107,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755625537,provisioning,61,114,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755626541,provisioning,62,120,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755627550,provisioning,63,125,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755628553,provisioning,64,132,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755629553,provisioning,65,138,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755630557,provisioning,66,144,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755631560,provisioning,67,151,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755632563,provisioning,68,157,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755633576,provisioning,69,164,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755634578,provisioning,70,171,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755635583,provisioning,71,177,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755636585,provisioning,72,182,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755637589,provisioning,73,187,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755638604,provisioning,75,187,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755639617,provisioning,76,187,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785755640623,provisioning,77,187,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
