ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785756451418,provisioning,1,10,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756452418,provisioning,2,20,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756453419,provisioning,3,31,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756454427,provisioning,4,42,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756455430,provisioning,5,53,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756456440,provisioning,6,64,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756457443,provisioning,7,72,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756458448,provisioning,8,80,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756459460,provisioning,9,89,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756460462,provisioning,10,97,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756461463,provisioning,11,106,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756462478,provisioning,12,115,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756463486,provisioning,13,125,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756464496,provisioning,14,134,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756465508,provisioning,15,144,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756466512,provisioning,16,154,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756467513,provisioning,17,164,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756468512,provisioning,18,175,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756469521,provisioning,19,185,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756470522,provisioning,20,196,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756471537,provisioning,21,206,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756472550,provisioning,22,215,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756473560,provisioning,23,225,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756474561,provisioning,24,234,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756475565,provisioning,25,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756476575,provisioning,26,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756477583,provisioning,27,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756478590,provisioning,28,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756479600,provisioning,29,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756480606,provisioning,30,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756481613,provisioning,31,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756482621,provisioning,32,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756483631,provisioning,33,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756484640,provisioning,34,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756485646,provisioning,35,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756486651,provisioning,36,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756487652,provisioning,37,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756488660,provisioning,38,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756489668,provisioning,39,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756490674,provisioning,40,242,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756491682,provisioning,41,242,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756492686,provisioning,42,242,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785756493698,provisioning,43,242,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
