ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785757408306,provisioning,1,40,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757409306,provisioning,2,98,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757410315,provisioning,3,159,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757411325,provisioning,4,215,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757412332,provisioning,5,273,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757413332,provisioning,6,314,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757414334,provisioning,7,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757415334,provisioning,8,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757416334,provisioning,9,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757417345,provisioning,10,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757418347,provisioning,11,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757419360,provisioning,12,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757420363,provisioning,13,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757421376,provisioning,14,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757422387,provisioning,15,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757423390,provisioning,16,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757424406,provisioning,17,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757425420,provisioning,18,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757426434,provisioning,19,316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757427436,provisioning,20,324,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757428450,provisioning,21,345,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757429457,provisioning,22,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757430473,provisioning,23,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757431486,provisioning,24,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757432497,provisioning,25,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757433501,provisioning,26,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757434504,provisioning,27,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757435511,provisioning,28,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757436519,provisioning,29,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757437530,provisioning,30,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757438544,provisioning,31,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757439558,provisioning,32,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757440566,provisioning,33,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757441581,provisioning,34,347,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757442585,provisioning,35,359,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757443593,provisioning,36,421,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757444596,provisioning,37,481,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757445595,provisioning,38,541,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757446600,provisioning,39,601,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757447603,provisioning,40,664,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757448612,provisioning,41,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757449616,provisioning,42,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757450621,provisioning,43,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757451629,provisioning,44,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757452636,provisioning,45,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757453646,provisioning,46,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757454660,provisioning,47,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757455670,provisioning,48,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757456670,provisioning,49,676,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757457682,provisioning,50,681,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757458687,provisioning,51,681,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757459691,provisioning,52,681,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757460698,provisioning,53,681,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757461712,provisioning,54,681,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757462724,provisioning,55,705,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757463735,provisioning,56,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757464747,provisioning,57,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757465751,provisioning,58,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757466762,provisioning,59,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757467773,provisioning,60,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757468782,provisioning,61,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757469782,provisioning,62,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757470784,provisioning,63,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757471786,provisioning,64,712,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757472794,provisioning,65,719,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757473798,provisioning,66,719,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757474814,provisioning,68,728,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757475815,provisioning,69,728,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757476828,provisioning,70,728,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757477839,provisioning,71,745,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757478844,provisioning,72,795,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757479850,provisioning,73,808,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757480857,provisioning,74,808,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785757481865,provisioning,75,808,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
