ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785758676738,provisioning,1,43,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758677744,provisioning,2,104,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758678751,provisioning,3,159,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758679756,provisioning,4,219,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758680766,provisioning,5,283,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758681771,provisioning,6,348,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758682773,provisioning,7,410,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758683786,provisioning,8,467,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758684796,provisioning,9,525,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758685806,provisioning,10,580,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758686819,provisioning,11,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758687831,provisioning,12,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758688831,provisioning,13,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758689842,provisioning,14,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758690850,provisioning,15,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758691855,provisioning,16,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758692865,provisioning,17,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758693866,provisioning,18,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758694866,provisioning,19,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758695866,provisioning,20,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758696873,provisioning,21,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758697874,provisioning,22,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758698875,provisioning,23,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758699883,provisioning,24,614,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758700888,provisioning,25,631,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758701896,provisioning,26,654,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758702899,provisioning,27,654,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758703911,provisioning,28,654,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758704915,provisioning,29,654,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785758705923,provisioning,30,654,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
