ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785759189359,provisioning,1,33,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759190362,provisioning,2,93,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759191366,provisioning,3,151,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759192381,provisioning,4,207,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759193381,provisioning,5,265,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759194382,provisioning,6,313,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759195389,provisioning,7,365,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759196403,provisioning,8,417,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759197414,provisioning,9,475,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759198424,provisioning,10,532,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759199430,provisioning,11,565,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759200437,provisioning,12,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759201441,provisioning,13,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759202457,provisioning,14,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759203467,provisioning,15,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759204482,provisioning,16,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759205487,provisioning,17,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759206487,provisioning,18,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759207497,provisioning,19,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759208509,provisioning,20,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759209511,provisioning,21,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759210513,provisioning,22,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759211519,provisioning,23,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759212524,provisioning,24,570,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759213532,provisioning,25,583,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759214533,provisioning,26,617,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759215535,provisioning,27,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759216551,provisioning,28,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759217551,provisioning,29,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759218567,provisioning,30,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759219580,provisioning,31,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759220592,provisioning,32,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759221599,provisioning,33,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759222601,provisioning,34,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759223605,provisioning,35,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759224616,provisioning,36,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759225624,provisioning,37,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759226629,provisioning,38,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759227641,provisioning,39,624,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759228656,provisioning,40,637,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759229664,provisioning,41,654,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759230665,provisioning,42,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759231668,provisioning,43,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759232678,provisioning,44,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759233683,provisioning,45,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759234693,provisioning,46,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759235705,provisioning,47,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759236716,provisioning,48,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759237721,provisioning,49,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759238723,provisioning,50,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759239734,provisioning,51,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759240738,provisioning,52,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759241739,provisioning,53,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759242743,provisioning,54,658,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759243752,provisioning,55,678,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759244761,provisioning,56,698,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759245774,provisioning,57,700,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759246775,provisioning,58,700,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759247782,provisioning,59,700,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759248785,provisioning,60,700,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759249796,provisioning,61,700,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759250804,provisioning,62,700,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759251806,provisioning,63,701,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759252819,provisioning,64,702,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759253832,provisioning,65,702,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759254832,provisioning,66,705,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759255845,provisioning,67,743,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759256850,provisioning,69,743,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759257853,provisioning,70,743,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759258859,provisioning,71,745,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759259860,provisioning,72,756,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759260864,provisioning,73,757,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759261868,provisioning,74,757,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785759262869,provisioning,75,757,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
