ts,phase,elapsedSec,usersCreated,usersConnected,usersActive,usersQueued,usersInRoom,actionsTotal,successTotal,failTotal,echoOk,echoSent,queueCount,roomCount,successRate,echoRate,p50Ms,p95Ms,p99Ms,aliveWorkers,cpuAvg,wsConnections
1785914202728,provisioning,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914203727,provisioning,2,19,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914204728,provisioning,3,50,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914205728,provisioning,4,80,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914206729,provisioning,5,114,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914207734,provisioning,6,137,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914208738,provisioning,7,169,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914209745,provisioning,8,203,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914210746,provisioning,9,240,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914211746,provisioning,10,267,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914212748,provisioning,11,300,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914213747,provisioning,12,330,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914214753,provisioning,13,364,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914215753,provisioning,14,394,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914216752,provisioning,15,431,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914217753,provisioning,16,459,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914218753,provisioning,17,487,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914219759,provisioning,18,518,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914220765,provisioning,19,550,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914221765,provisioning,20,582,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914222766,provisioning,21,612,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914223766,provisioning,22,647,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914224772,provisioning,23,679,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914225778,provisioning,24,717,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914226779,provisioning,25,754,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914227784,provisioning,26,785,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914228792,provisioning,27,816,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914229799,provisioning,28,849,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914230809,provisioning,29,874,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914231819,provisioning,30,911,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914232820,provisioning,31,939,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914233822,provisioning,32,973,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914234824,provisioning,33,1008,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914235824,provisioning,34,1040,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914236832,provisioning,35,1072,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914237838,provisioning,36,1103,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914238840,provisioning,37,1137,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914239840,provisioning,38,1169,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914240845,provisioning,39,1200,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914241845,provisioning,40,1227,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914242845,provisioning,41,1255,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914243846,provisioning,42,1290,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914244852,provisioning,43,1321,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914245860,provisioning,44,1356,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914246862,provisioning,45,1394,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914247861,provisioning,46,1425,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914248861,provisioning,47,1450,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914249863,provisioning,48,1488,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914250870,provisioning,49,1515,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914251870,provisioning,50,1556,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914252877,provisioning,51,1585,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914253878,provisioning,52,1617,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914254881,provisioning,53,1649,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914255882,provisioning,54,1675,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914256882,provisioning,55,1710,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914257887,provisioning,56,1744,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914258886,provisioning,57,1776,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914259901,provisioning,58,1806,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914260910,provisioning,59,1842,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914261911,provisioning,60,1877,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914262912,provisioning,61,1905,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914263920,provisioning,62,1939,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914264920,provisioning,63,1977,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914265935,provisioning,64,2008,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914266936,provisioning,65,2045,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914267937,provisioning,66,2072,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914268938,provisioning,67,2110,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914269943,provisioning,68,2142,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914270945,provisioning,69,2180,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914271945,provisioning,70,2213,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914272945,provisioning,71,2245,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914273953,provisioning,72,2277,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914274956,provisioning,73,2309,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914275970,provisioning,74,2344,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914276970,provisioning,75,2378,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914277971,provisioning,76,2411,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914278971,provisioning,77,2448,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914279978,provisioning,78,2478,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914280988,provisioning,79,2511,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914281995,provisioning,80,2543,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914283003,provisioning,81,2568,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914284003,provisioning,82,2602,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914285004,provisioning,83,2638,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914286003,provisioning,84,2669,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914287006,provisioning,85,2706,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914288006,provisioning,86,2731,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914289006,provisioning,87,2764,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914290012,provisioning,88,2794,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914291014,provisioning,89,2822,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914292014,provisioning,90,2858,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914293014,provisioning,91,2889,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914294015,provisioning,92,2922,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914295018,provisioning,93,2948,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914296020,provisioning,94,2981,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914297024,provisioning,95,3008,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914298028,provisioning,96,3037,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914299028,provisioning,97,3071,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914300029,provisioning,98,3105,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914301031,provisioning,99,3137,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914302031,provisioning,100,3168,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914303040,provisioning,101,3200,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914304040,provisioning,102,3239,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914305040,provisioning,103,3274,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914306040,provisioning,104,3306,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914307040,provisioning,105,3346,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914308040,provisioning,106,3375,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914309053,provisioning,107,3413,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914310056,provisioning,108,3449,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914311065,provisioning,109,3486,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914312065,provisioning,110,3522,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914313064,provisioning,111,3550,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914314065,provisioning,112,3585,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914315065,provisioning,113,3621,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914316065,provisioning,114,3655,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914317073,provisioning,115,3693,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914318076,provisioning,116,3724,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914319081,provisioning,117,3760,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914320082,provisioning,118,3795,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914321081,provisioning,119,3837,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914322097,provisioning,120,3872,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914323098,provisioning,121,3903,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914324106,provisioning,122,3938,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914325106,provisioning,123,3977,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914326106,provisioning,124,4014,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914327106,provisioning,125,4047,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914328114,provisioning,126,4078,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914329118,provisioning,127,4115,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914330130,provisioning,128,4152,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914331131,provisioning,129,4192,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914332132,provisioning,130,4223,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914333134,provisioning,131,4262,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914334140,provisioning,132,4298,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914335140,provisioning,133,4334,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914336148,provisioning,134,4368,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914337148,provisioning,135,4406,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914338165,provisioning,136,4434,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914339165,provisioning,137,4470,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914340172,provisioning,138,4510,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914341173,provisioning,139,4543,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914342176,provisioning,140,4581,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914343182,provisioning,141,4604,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914344198,provisioning,142,4639,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914345207,provisioning,143,4675,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914346207,provisioning,144,4713,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914347207,provisioning,145,4744,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914348208,provisioning,146,4773,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914349209,provisioning,147,4809,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914350214,provisioning,148,4846,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914351215,provisioning,149,4881,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914352223,provisioning,151,4915,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914353232,provisioning,152,4947,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914354232,provisioning,153,4980,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914355232,provisioning,154,5016,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914356232,provisioning,155,5053,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914357248,provisioning,156,5087,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914358247,provisioning,157,5114,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914359252,provisioning,158,5144,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914360264,provisioning,159,5184,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914361265,provisioning,160,5220,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914362279,provisioning,161,5253,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914363280,provisioning,162,5288,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914364294,provisioning,163,5316,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914365298,provisioning,164,5350,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914366299,provisioning,165,5386,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914367299,provisioning,166,5420,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914368300,provisioning,167,5448,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914369302,provisioning,168,5479,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914370302,provisioning,169,5512,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914371309,provisioning,170,5543,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914372316,provisioning,171,5581,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914373330,provisioning,172,5607,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914374338,provisioning,173,5647,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914375348,provisioning,174,5684,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914376352,provisioning,175,5715,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
1785914377354,provisioning,176,5751,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
